public_id,url,name,name_kana,name_romaji,brewery_id,brewery_name,brewery_name_romaji,brewery_url,brewery_website,category,rice,polishing_ratio_pct,abv_pct,sake_meter_value,acidity,yeast,water_source,starter_method,pressing_filtration,pasteurization,milling_tech,has_gas,aroma_type,acidity_type,taste_sweet_dry,taste_acidity,taste_umami,taste_aroma,taste_body,taste_finish,taste_drinkability,volumes_ml,brewery_confirmed_spec,brewery_confirmed_taste,updated_at
34480,https://find-sake.me/sake/34480,おれの酒 純米酒 plus ひやおろし,おれのさけ じゅんまいしゅ ぷらす ひやおろし,Ore no Sake Junmaishu plus Hiyaoroshi,10031,日吉酒造店,Hiyoshi Shuzoten,https://find-sake.me/brewery/10031,https://hiyoshisyuzou.com/,純米酒,五百万石100%,60,15,,,,白山・手取川水系,,,ひやおろし,,,E:穀物・ふくよか系,中庸・バランス系,4,3,4,2,3,4,4,720,false,false,2026-09-06
28902,https://find-sake.me/sake/28902,こっそり 吟醸原酒,こっそり ぎんじょうげんしゅ,Kossori Ginjo Genshu,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,吟醸,山田錦、五百万石,50,18.5,3,1.5,,白山・手取川水系,,,原酒,,,A:メロン・白桃系,中庸・バランス系,3,3,4,3,5,5,3,720,false,false,2026-08-20
5736,https://find-sake.me/sake/5736,こっそり 純米原酒,こっそり じゅんまいげんしゅ,Kossori Junmai Genshu,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米,一般米,75,17.5,-1,1.8,,白山・手取川水系,,,原酒,,,C:バナナ系,重厚・乳酸系,2,5,5,2,5,3,2,720,false,false,2026-08-20
6123,https://find-sake.me/sake/6123,シラヤマフウロ 本醸造,しらやまふうろ ほんじょうぞう,Shirayama Furo Honjozo,10014,合同会社西出酒造,Nishide Shuzo,https://find-sake.me/brewery/10014,https://nishidesake.com/,本醸造,石川県産米,60,15,,,白山風露酵母（天然酵母）,,,,,,,,中庸・バランス系,4,3,3,3,3,4,3,720,false,false,2026-08-30
42259,https://find-sake.me/sake/42259,ほまれ 上撰,ほまれ じょうせん,Homare Josen,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,普通酒,,,15,,,,能登水系,,,,,,E:穀物・ふくよか系,中庸・バランス系,3,3,2,2,2,4,4,1800,false,false,2026-08-20
1891,https://find-sake.me/sake/1891,ほまれ 佳撰,ほまれ かせん,Homare Kasen,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,本醸造,,,16,,,,能登水系,,,,,,E:穀物・ふくよか系,中庸・バランス系,3,3,3,2,3,3,3,1800,false,false,2026-08-20
53908,https://find-sake.me/sake/53908,ほまれ 大吟醸,ほまれ だいぎんじょう,Homare Daiginjo,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,大吟醸,山田錦,40,16.5,4.5,1.2,,,,,,,,,,3,3,3,5,2,5,4,720;1800,false,false,2026-09-07
17406,https://find-sake.me/sake/17406,ほまれ 旬一献,ほまれ しゅんいっこん,Homare Shun Ikkon,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,,,,15.5,,,,能登水系,,,,,,E:穀物・ふくよか系,中庸・バランス系,4,3,3,2,3,4,3,300,false,false,2026-08-20
53023,https://find-sake.me/sake/53023,ほまれ 本醸造,ほまれ ほんじょうぞう,Homare Honjozo,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,本醸造,麹米：五百万石（石川県産）、掛米：うるち米（石川県産）,65,15,5.5,1.6,,能登水系,,,火入れ,,,E:穀物・ふくよか系,中庸・バランス系,4,4,4,2,3,4,3,1800,false,false,2026-08-20
19818,https://find-sake.me/sake/19818,ほまれ 純米吟醸 五百万石,ほまれ じゅんまいぎんじょう ごひゃくまんごく,Homare Junmai Ginjo Gohyakumangoku,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,純米吟醸,五百万石（石川県産100%）,57,16,,,,能登水系,,,,,,,中庸・バランス系,3,3,3,4,3,4,4,720,false,false,2026-08-20
37700,https://find-sake.me/sake/37700,ほまれ 純米吟醸 山田錦・美山錦,ほまれ じゅんまいぎんじょう やまだにしき・みやまにしき,Homare Junmai Ginjo Yamada Nishiki / Miyama Nishiki,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,純米吟醸,山田錦 / 美山錦,55,16.5,5,,,,,,,,,,,3,4,5,5,5,3,3,720;1800,false,false,2026-09-07
57480,https://find-sake.me/sake/57480,ほまれ 純米酒 ひやおろし,ほまれ じゅんまいしゅ ひやおろし,Homare Junmaishu Hiyaoroshi,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,純米酒,,,17,,,,能登水系,,,ひやおろし,,,E:穀物・ふくよか系,中庸・バランス系,3,3,4,2,4,3,3,720,false,false,2026-09-05
54065,https://find-sake.me/sake/54065,ほまれ 能洲乃露,ほまれ のうしゅうのつゆ,Homare Noshu-no-tsuyu,10021,御祖酒造株式会社,Mioya Shuzo,https://find-sake.me/brewery/10021,http://mioya-sake.com/,大吟醸,山田錦（兵庫県黒田庄産）,40,17,3,1.3,,能登水系,,,原酒,,,,中庸・バランス系,3,3,4,5,4,4,3,1800,false,false,2026-08-30
46684,https://find-sake.me/sake/46684,モモトセ スイート三十年 長期熟成,ももとせ すいーとさんじゅうねん ちょうきじゅくせい,Momotose Sweet Sanjunen Choki Jukusei,10004,株式会社福光屋,Fukumitsuya,https://find-sake.me/brewery/10004,https://www.fukumitsuya.co.jp/,純米酒,五百万石（石川県産）85%、日本晴（茨城県産）15%,70,16,-23,3.7,,白山・手取川水系,熟成古酒,,古酒,,,D:熟成系,重厚・乳酸系,1,5,5,4,5,1,1,350,false,false,2026-08-20
29665,https://find-sake.me/sake/29665,モモトセ スイート十年 長期熟成,ももとせ すいーとじゅうねん ちょうきじゅくせい,Momotose Sweet Junen Choki Jukusei,10004,株式会社福光屋,Fukumitsuya,https://find-sake.me/brewery/10004,https://www.fukumitsuya.co.jp/,純米酒,山田錦（兵庫県多可町中区産）92%、その他8%,70,17,-16,2.5,,白山・手取川水系,熟成古酒,,古酒,,,D:熟成系,重厚・乳酸系,1,5,4,4,5,2,2,350,false,false,2026-08-20
3358,https://find-sake.me/sake/3358,ルネサンス金沢,るねさんすかなざわ,Renaissance Kanazawa,10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,長期熟成酒,,65,12,,,,,長期熟成,,20年以上長期熟成,,,D:熟成系,中庸・バランス系,1,3,5,5,5,1,1,500,true,true,2026-08-26
6179,https://find-sake.me/sake/6179,二羽鶴,にわづる,Niwazuru,10035,合資会社二羽鶴酒造場,Niwazuru Shuzojo,https://find-sake.me/brewery/10035,,普通酒,,,14,,,,能登水系,,,,,,D:熟成系,中庸・バランス系,3,3,4,3,3,3,4,720,false,false,2026-09-05
10734,https://find-sake.me/sake/10734,五凛 純米大吟醸,ごりん じゅんまいだいぎんじょう,Gorin Junmai Daiginjo,10009,株式会社車多酒造,Shata Shuzo,https://find-sake.me/brewery/10009,https://www.tengumai.co.jp/,純米大吟醸,山田錦,45,16,1,1.5,自家培養酵母,,,,,,,A:メロン・白桃系,中庸・バランス系,4,3,4,4,3,4,4,720;1800,false,false,2026-09-07
18343,https://find-sake.me/sake/18343,五凛 純米酒,ごりん じゅんまいしゅ,Gorin Junmaishu,10009,株式会社車多酒造,Shata Shuzo,https://find-sake.me/brewery/10009,https://www.tengumai.co.jp/,純米酒,山田錦,60,15.5,4,1.7,,,,,,,,,中庸・バランス系,4,4,4,2,3,4,4,720;1800,false,false,2026-09-07
62360,https://find-sake.me/sake/62360,兼六桜 純米にごり酒,けんろくざくら じゅんまいにごりざけ,Kenrokuzakura Junmai Nigorizake,10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,純米酒,五百万石,65,15,-18,3.5,花酵母（兼六園の八重桜）,白山水系,,にごり,火入れ,,true,B:青リンゴ・レモン系,重厚・乳酸系,2,5,5,3,5,3,4,720,true,true,2026-08-26
33858,https://find-sake.me/sake/33858,兼六正宗 大吟醸,けんろくまさむね だいぎんじょう,Kenroku Masamune Daiginjo,10006,株式会社金谷酒造店,Kanaya Shuzoten,https://find-sake.me/brewery/10006,https://www.hakusan-takasago.jp/,大吟醸,,50,16,,,,白山・手取川水系,,,,,,A:メロン・白桃系,中庸・バランス系,3,3,2,4,3,4,4,720;1800,false,false,2026-09-22
49994,https://find-sake.me/sake/49994,冷酒竹葉,れいしゅ ちくは,Reishu Chikuha,10022,数馬酒造株式会社,Kazuma Shuzo,https://find-sake.me/brewery/10022,https://chikuha.co.jp/,普通酒,五百万石ほか,,15,,,,能登水系,,,,,,E:穀物・ふくよか系,中庸・バランス系,3,3,3,2,3,3,4,300,false,false,2026-08-30
36413,https://find-sake.me/sake/36413,初心 光蔵 淡熟三年 秘伝山廃仕込 純米大吟醸,はつごころ ひかりぐら たんじゅくさんねん ひでんやまはいじこみ じゅんまいだいぎんじょう,Hatsugokoro Hikarigura Tanjuku Sannen Hiden Yamahai Jikomi Junmai Daiginjo,10004,株式会社福光屋,Fukumitsuya,https://find-sake.me/brewery/10004,https://www.fukumitsuya.co.jp/,純米大吟醸,山田錦,40,16,4,1.6,,,山廃,,原酒,,,D:熟成系,,3,5,5,4,5,4,2,720;1800,false,false,2026-09-07
31797,https://find-sake.me/sake/31797,初心 壽蔵 淡熟一年 秘伝山廃仕込 純米大吟醸,はつごころ ことぶきぐら たんじゅくいちねん ひでんやまはいじこみ じゅんまいだいぎんじょう,Hatsugokoro Kotobukigura Tanjuku Ichinen Hiden Yamahai Jikomi Junmai Daiginjo,10004,株式会社福光屋,Fukumitsuya,https://find-sake.me/brewery/10004,https://www.fukumitsuya.co.jp/,純米大吟醸,山田錦,40,16,1,1.8,,,山廃,,原酒,,,D:熟成系,,2,5,5,4,5,4,2,720;1800,false,false,2026-09-07
46421,https://find-sake.me/sake/46421,初心 禄蔵 淡熟七年 秘伝山廃仕込 純米大吟醸,はつごころ みどりぐら たんじゅくななねん ひでんやまはいじこみ じゅんまいだいぎんじょう,Hatsugokoro Midorigura Tanjuku Nananen Hiden Yamahai Jikomi Junmai Daiginjo,10004,株式会社福光屋,Fukumitsuya,https://find-sake.me/brewery/10004,https://www.fukumitsuya.co.jp/,純米大吟醸,山田錦,50,17,1,1.8,,,山廃,,原酒,,,D:熟成系,,2,5,5,5,5,4,1,720;1800,false,false,2026-09-07
31329,https://find-sake.me/sake/31329,初心 福蔵 淡熟十年 秘伝山廃仕込 純米大吟醸,はつごころ ふくぐら たんじゅくじゅうねん ひでんやまはいじこみ じゅんまいだいぎんじょう,Hatsugokoro Fukugura Tanjuku Junen Hiden Yamahai Jikomi Junmai Daiginjo,10004,株式会社福光屋,Fukumitsuya,https://find-sake.me/brewery/10004,https://www.fukumitsuya.co.jp/,純米大吟醸,山田錦,50,17,1,1.7,,,山廃,,原酒,,,D:熟成系,,2,5,5,5,5,1,1,720;1800,false,false,2026-09-07
42608,https://find-sake.me/sake/42608,加賀のおいしい地酒み～つけた 純米酒,かがのおいしいじざけみ～つけた じゅんまいしゅ,Kaga no Oishii Jizake Mitsuketa Junmaishu,10013,合資会社手塚酒造場,Tezuka Shuzojo,https://find-sake.me/brewery/10013,,純米,五百万石,65,15.5,,1.4,,白山・手取川水系,速醸,,火入れ,,,,中庸・バランス系,4,3,4,2,3,4,4,720,false,false,2026-09-14
55284,https://find-sake.me/sake/55284,加賀ノ月 ひやおろし,かがのつき ひやおろし,Kaga-no-tsuki Hiyaoroshi,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米吟醸,五百万石,58,18,5,1.7,,白山・手取川水系,,,ひやおろし、原酒,,,A:メロン・白桃系,中庸・バランス系,5,4,4,3,5,5,3,720,false,false,2026-08-20
43573,https://find-sake.me/sake/43573,加賀ノ月 三日月 本醸造,かがのつき みかづき ほんじょうぞう,Kaga-no-tsuki Mikazuki Honjozo,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,本醸造,五百万石、一般米,65,15.5,2,1.6,協会701号,白山・手取川水系,,,,,,C:バナナ系,中庸・バランス系,3,3,4,2,3,4,4,300;720;1800,false,false,2026-09-07
6155,https://find-sake.me/sake/6155,加賀ノ月 半月 純米酒,かがのつき はんげつ じゅんまいしゅ,Kaga-no-tsuki Hangetsu Junmaishu,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米酒,五百万石、一般米,65,15.5,3.5,1.7,協会9号酵母,白山・手取川水系,,,,,,C:バナナ系,中庸・バランス系,4,4,4,2,4,4,3,300;720;1800,false,false,2026-09-07
30470,https://find-sake.me/sake/30470,加賀ノ月 月光 無濾過,かがのつき げっこう むろか,Kaga-no-tsuki Gekko Muroka,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米大吟醸,五百万石,50,17,3.5,1.6,,白山・手取川水系,,無濾過、袋しぼり,生酒、原酒,,,A:メロン・白桃系,爽快・リンゴ酸系,3,4,4,5,5,4,4,720;1800,false,false,2026-09-07
20811,https://find-sake.me/sake/20811,加賀ノ月 月光 純米大吟醸,かがのつき げっこう じゅんまいだいぎんじょう,Kaga-no-tsuki Gekko Junmai Daiginjo,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米大吟醸,五百万石,50,15.5,3.5,1.6,金沢酵母,白山・手取川水系,,,,,,C:バナナ系,中庸・バランス系,3,3,4,3,4,4,4,300;720;1800,false,false,2026-09-07
43412,https://find-sake.me/sake/43412,加賀ノ月 満月 純米吟醸,かがのつき まんげつ じゅんまいぎんじょう,Kaga-no-tsuki Mangetsu Junmai Ginjo,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米吟醸,五百万石,58,15.5,4,1.4,協会9号酵母,白山・手取川水系,,,,,,B:青リンゴ・レモン系,中庸・バランス系,3,3,3,3,3,4,4,300;720;1800,false,false,2026-09-07
4028,https://find-sake.me/sake/4028,加賀ノ月 琥珀月 山廃純米吟醸,かがのつき こはくづき やまはいじゅんまいぎんじょう,Kaga-no-tsuki Kohakuzuki Yamahai Junmai Ginjo,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米吟醸,五百万石,60,15.5,-3,1.8,金沢酵母,白山・手取川水系,古典的山廃,,,,,D:熟成系,重厚・乳酸系,1,5,5,2,5,2,1,300;720;1800,false,false,2026-09-07
25355,https://find-sake.me/sake/25355,加賀ノ月 百万石乃白 純米大吟醸,かがのつき ひゃくまんごくのしろ じゅんまいだいぎんじょう,Kaga-no-tsuki Hyakumangoku-no-shiro Junmai Daiginjo,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米大吟醸,百万石乃白,50,17,2,1.5,金沢酵母,白山水系伏流水,,,原酒,,,C:バナナ系,中庸・バランス系,3,4,3,5,5,5,2,720,false,false,2026-08-20
57685,https://find-sake.me/sake/57685,加賀ノ月 純米吟醸原酒 生酒 風船,かがのつき じゅんまいぎんじょうげんしゅ なまざけ ふうせん,Kaga-no-tsuki Junmai Ginjo Genshu Namazake Fusen,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米吟醸,五百万石,58,17.5,3,1.4,,白山・手取川水系,,,生酒、原酒,,,,,3,3,3,4,4,4,3,720,false,false,2026-08-30
44788,https://find-sake.me/sake/44788,加賀ノ月 虹,かがのつき にじ,Kaga-no-tsuki Niji,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米大吟醸,白鶴錦,50,17,2,1.7,,白山・手取川水系,,無濾過、袋しぼり,生酒、原酒,,,A:メロン・白桃系,中庸・バランス系,3,4,5,5,5,3,4,720;1800,false,false,2026-09-07
4647,https://find-sake.me/sake/4647,加賀ノ月 金ノ月,かがのつき きんのつき,Kaga-no-tsuki Kin-no-tsuki,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米,一般米,75,14.5,-2,2,,白山・手取川水系,,,,,,C:バナナ系,中庸・バランス系,2,5,4,2,4,3,3,300,false,false,2026-08-20
38192,https://find-sake.me/sake/38192,加賀ノ月 銀ノ月,かがのつき ぎんのつき,Kaga-no-tsuki Gin-no-tsuki,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,本醸造,一般米,65,14.5,2,1.5,,白山・手取川水系,,,,,,B:青リンゴ・レモン系,爽快・リンゴ酸系,4,3,2,2,2,4,4,300,false,false,2026-08-20
35097,https://find-sake.me/sake/35097,加賀の雪酒 凍結酒,かがのゆきざけ とうけつしゅ,Kaga-no-yukizake Toketsushu,10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,純米,五百万石,65,13,-7,2.3,,白山水系,,,火入れ,,,,中庸・バランス系,2,2,3,3,1,2,5,180,true,true,2026-08-26
42779,https://find-sake.me/sake/42779,加賀吟醸 淡麗大吟醸,かがぎんじょう たんれいだいぎんじょう,Kaga Ginjo Tanrei Daiginjo,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,大吟醸,山田錦、五百万石,50,15.5,3,1.5,協会1801号,白山・手取川水系,,,,,,A:メロン・白桃系,爽快・リンゴ酸系,3,4,2,5,2,5,4,1800,false,false,2026-08-20
60848,https://find-sake.me/sake/60848,加賀吟醸 純米大吟醸,かがぎんじょう じゅんまいだいぎんじょう,Kaga Ginjo Junmai Daiginjo,10011,株式会社加越,Kaetsu,https://find-sake.me/brewery/10011,https://www.kanpaku.co.jp/,純米大吟醸,山田錦,50,15.5,,,,白山・手取川水系,,,,,,A:メロン・白桃系,中庸・バランス系,4,3,4,4,4,4,3,720;1800,false,false,2026-08-20
58830,https://find-sake.me/sake/58830,加賀太鼓 太郎 特別本醸造,かがたいこ たろう とくべつほんじょうぞう,Kagataiko Taro Tokubetsu Honjozo,10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,特別本醸造,五百万石,60,14,8,2,,白山水系,,,火入れ,,,,中庸・バランス系,4,3,3,2,1,5,5,300;720;1800,true,true,2026-08-26
15564,https://find-sake.me/sake/15564,加賀太鼓 辛口生貯蔵酒,かがたいこ からくちなまちょぞうしゅ,Kagataiko Karakuchi Nama Chozoshu,10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,本醸造,五百万石,60,14,7,2,,白山水系,,,生貯蔵酒,,,,,4,3,3,3,1,5,5,300,true,true,2026-08-26
58403,https://find-sake.me/sake/58403,加賀百万石カップ（ひゃくまんさん）,かがひゃくまんごくかっぷ（ひゃくまんさん）,Kaga Hyakumangoku Cup (Hyakumansan),10003,中村酒造株式会社,Nakamura Shuzo,https://find-sake.me/brewery/10003,https://www.nakamura-shuzou.co.jp/,普通酒,五百万石,65,14,4,2,,白山水系,,,火入れ,,,,,3,3,4,2,1,5,5,200,true,true,2026-08-26
22123,https://find-sake.me/sake/22123,加賀纏 純米,かがまとい じゅんまい,Kagamatoi Junmai,10004,株式会社福光屋,Fukumitsuya,https://find-sake.me/brewery/10004,https://www.fukumitsuya.co.jp/,純米,国産米（契約栽培米）,75,14,,,,白山・手取川水系,,,,,,E:穀物・ふくよか系,中庸・バランス系,3,3,4,2,3,3,4,1800,false,false,2026-09-22
59382,https://find-sake.me/sake/59382,加賀纏 純米大吟醸,かがまとい じゅんまいだいぎんじょう,Kagamatoi Junmai Daiginjo,10004,株式会社福光屋,Fukumitsuya,https://find-sake.me/brewery/10004,https://www.fukumitsuya.co.jp/,純米大吟醸,酒造好適米（契約栽培米）,50,15,4,1.4,,白山・手取川水系,,,,,,A:メロン・白桃系,中庸・バランス系,3,3,3,4,3,4,4,300;720;1800,false,false,2026-09-22
